Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
310500,87.33961,87.336136,87.33188,87.33188,10.804315
311400,92.08889,89.506,85.13627,85.13627,10.882498
312300,82.42336,80.326324,75.18092,75.18092,9.683862
313200,56.733505,56.86918,57.40373,57.40373,7.064231
314100,37.709946,37.709946,37.709946,37.709946,4.665148
315000,23.888987,23.888987,23.888987,23.888987,2.9553385
315900,15.307708,15.307708,15.307708,15.307708,1.8937371
316800,7.6159935,7.6159935,7.6159935,7.6159935,0.9421848
317700,2.0898771,2.0898771,2.0898771,2.0898771,0.2585415
318600,0,0,0,0,0
319500,0,0,0,0,0
320400,0,0,0,0,0
321300,0,0,0,0,0
322200,0,0,0,0,0
323100,0,0,0,0,0
324000,0,0,0,0,0
324900,0,0,0,0,0
325800,0,0,0,0,0
326700,0,0,0,0,0
327600,0,0,0,0,0
328500,0,0,0,0,0
329400,0,0,0,0,0
330300,0,0,0,0,0
331200,0,0,0,0,0
332100,0,0,0,0,0
333000,0,0,0,0,0
333900,0,0,0,0,0
334800,0,0,0,0,0
335700,0,0,0,0,0
336600,0,0,0,0,0
337500,0,0,0,0,0
338400,0,0,0,0,0
339300,0,0,0,0,0
340200,0,0,0,0,0
341100,0,0,0,0,0
342000,0,0,0,0,0
342900,0,0,0,0,0
343800,0,0,0,0,0
344700,0,0,0,0,0
345600,0,0,0,0,0
346500,0,0,0,0,0
347400,0,0,0,0,0
348300,0,0,0,0,0
349200,0,0,0,0,0
350100,0,0,0,0,0
351000,0,0,0,0,0
351900,0,0,0,0,0
352800,0,0,0,0,0
353700,0,0,0,0,0
354600,0,0,0,0,0
355500,0,0,0,0,0
356400,0,0,0,0,0
357300,0,0,0,0,0
358200,0,0,0,0,0
359100,0,0,0,0,0
360000,0,0,0,0,0
360900,0,0,0,0,0
361800,0,0,0,0,0
362700,0,0,0,0,0
363600,0,0,0,0,0
364500,0,0,0,0,0
365400,0,0,0,0,0
366300,0,0,0,0,0
367200,0,0,0,0,0
368100,0,0,0,0,0
369000,0,0,0,0,0
369900,0,0,0,0,0
370800,0,0,0,0,0
371700,0,0,0,0,0
372600,0,0,0,0,0
373500,0.66075987,0.66075987,0.66075987,0.66075987,0.08174349
374400,3.0986016,3.0986016,3.0986016,3.0986016,0.38333216
375300,8.753236,8.753236,8.753236,8.753236,1.0828745
376200,22.281336,19.529789,19.529789,22.753193,2.6008487
377100,177.24223,37.415314,37.415314,186.52121,13.564765
378000,553.62177,61.706,61.706,523.6609,37.134888
378900,1018.8127,87.25255,87.25255,853.5147,63.304096
379800,1459.1277,113.16529,113.16529,1075.2617,85.38309
380700,1744.0991,132.34724,132.34724,1116.2766,96.65166
381600,2023.9978,151.33922,151.33922,1107.5117,106.212
382500,2288.2573,170.16481,170.16481,1050.2701,113.77908
383400,2526.4387,188.83267,188.83267,951.90784,119.2581
384300,2729.0645,207.29276,207.29276,825.3148,122.75149
385200,2883.2258,224.6418,224.6418,685.50684,124.26855
386100,2973.395,239.59132,239.59132,548.6455,123.749176
387000,2984.4185,250.85207,250.85207,429.79852,121.11096
387900,2877.8025,258.58493,258.58493,340.20395,115.52092
388800,2679.2285,264.0111,264.0111,286.8928,108.06629
389700,2473.113,271.52295,267.4327,267.4327,101.42787
390600,2345.0398,310.1469,269.15274,269.15274,98.76779
391500,2258.9976,366.37836,266.23044,266.23044,97.665054
392400,2110.6538,422.30362,255.18016,255.18016,94.12323
393300,2023.9723,503.87195,246.10896,246.10896,93.403984
394200,1933.745,593.61194,234.95282,234.95282,92.69884
395100,1855.993,690.8385,221.89815,221.89815,92.493645
396000,1789.7167,793.27515,206.45338,206.45338,92.65666
396900,1715.0856,891.78265,188.67343,188.67343,92.29531
397800,1613.6288,971.6711,168.61514,168.61514,90.38753
398700,1315.8015,913.13983,144.09581,144.09581,77.84947
399600,829.9032,660.6052,115.36429,115.36429,53.234135
400500,384.728,347.99512,86.2099,86.2099,27.994112
401400,114.766655,114.23808,59.05854,59.05854,10.735726
402300,68.25495,71.340164,37.567898,37.567898,6.641162
403200,27.545095,29.470575,18.862734,18.862734,2.9301383
404100,5.2270403,5.2270403,5.2270403,5.2270403,0.6466442
405000,0,0,0,0,0
405900,0,0,0,0,0
406800,0,0,0,0,0
407700,0,0,0,0,0
408600,0,0,0,0,0
409500,0,0,0,0,0
410400,0,0,0,0,0
411300,0,0,0,0,0
412200,0,0,0,0,0
413100,0,0,0,0,0
414000,0,0,0,0,0
414900,0,0,0,0,0
415800,0,0,0,0,0
416700,0,0,0,0,0
417600,0,0,0,0,0
418500,0,0,0,0,0
419400,0,0,0,0,0
420300,0,0,0,0,0
421200,0,0,0,0,0
422100,0,0,0,0,0
423000,0,0,0,0,0
423900,0,0,0,0,0
424800,0,0,0,0,0
425700,0,0,0,0,0
426600,0,0,0,0,0
427500,0,0,0,0,0
428400,0,0,0,0,0
429300,0,0,0,0,0
430200,0,0,0,0,0
431100,0,0,0,0,0
432000,0,0,0,0,0
432900,0,0,0,0,0
433800,0,0,0,0,0
434700,0,0,0,0,0
435600,0,0,0,0,0
436500,0,0,0,0,0
437400,0,0,0,0,0
438300,0,0,0,0,0
439200,0,0,0,0,0
440100,0,0,0,0,0
441000,0,0,0,0,0
441900,0,0,0,0,0
442800,0,0,0,0,0
443700,0,0,0,0,0
444600,0,0,0,0,0
445500,0,0,0,0,0
446400,0,0,0,0,0
447300,0,0,0,0,0
448200,0,0,0,0,0
449100,0,0,0,0,0
450000,0,0,0,0,0
450900,0,0,0,0,0
451800,0,0,0,0,0
452700,0,0,0,0,0
453600,0,0,0,0,0
454500,0,0,0,0,0
455400,0,0,0,0,0
456300,0,0,0,0,0
457200,0,0,0,0,0
458100,0,0,0,0,0
459000,0,0,0,0,0
459900,1.3383563,1.3383563,1.3383563,1.3383563,0.16556984
460800,4.646514,4.646514,4.646514,4.646514,0.5748265
461700,10.117792,10.117792,10.117792,10.117792,1.2516857
462600,17.204155,17.374466,17.374466,17.173964,2.13795
463500,27.131298,26.406448,26.406448,27.184942,3.3132722
464400,43.42371,39.788483,39.788483,43.213097,5.140632
465300,68.70741,54.374714,54.374714,66.25051,7.537341
466200,99.89872,68.23001,68.23001,91.005646,10.124672
467100,412.20016,87.69434,87.69434,286.9672,27.048124
468000,1125.1664,113.64236,113.64236,634.6528,61.45682
468900,1890.1459,136.15312,136.15312,866.8563,93.68995
469800,2558.6558,155.91368,155.91368,947.26666,118.07474
470700,2956.2437,168.46771,168.46771,854.6313,128.28279
471600,3319.237,179.58963,179.58963,721.3198,136.07431
472500,3719.0168,194.55936,194.55936,598.68207,145.57167
473400,3893.8752,202.83588,202.83588,444.28406,146.71642
474300,3982.1555,209.30125,209.30125,322.1424,146.06909
475200,4029.4778,213.68356,213.68356,244.53767,145.40358
476100,4021.454,219.81032,216.19742,216.19742,144.54616
477000,3944.741,270.612,217.05273,217.05273,143.79768
477900,3704.442,345.7918,211.13643,211.13643,138.32495
478800,3568.2322,475.32916,210.63713,210.63713,138.08769
479700,3421.668,635.9184,209.20453,209.20453,138.43285
480600,3267.4739,816.32355,206.3048,206.3048,139.06413
481500,3100.7861,1002.0007,200.82433,200.82433,139.31244
482400,2829.904,1133.9758,187.57303,187.57303,134.19667
483300,2629.4592,1279.98,174.2858,174.2858,131.69106
484200,2410.8008,1390.7496,156.83739,156.83739,127.27501
485100,1920.6263,1294.8124,135.18759,135.18759,107.80868
486000,1164.7139,909.07837,111.01401,111.01401,71.004745
486900,437.60028,391.77197,83.422386,83.422386,30.810837
487800,130.77701,130.04224,61.546303,61.546303,11.873563
488700,70.68407,73.77704,39.58174,39.58174,6.9162245
489600,32.01427,34.57046,20.4326,20.4326,3.3231938
490500,5.856682,5.856682,5.856682,5.856682,0.72453797
491400,0,0,0,0,0
492300,0,0,0,0,0
493200,0,0,0,0,0
494100,0,0,0,0,0
495000,0,0,0,0,0
495900,0,0,0,0,0
496800,0,0,0,0,0
497700,0,0,0,0,0
498600,0,0,0,0,0
499500,0,0,0,0,0
500400,0,0,0,0,0
501300,0,0,0,0,0
502200,0,0,0,0,0
503100,0,0,0,0,0
504000,0,0,0,0,0
504900,0,0,0,0,0
505800,0,0,0,0,0
506700,0,0,0,0,0
507600,0,0,0,0,0
508500,0,0,0,0,0
509400,0,0,0,0,0
510300,0,0,0,0,0
511200,0,0,0,0,0
512100,0,0,0,0,0
513000,0,0,0,0,0
513900,0,0,0,0,0
514800,0,0,0,0,0
515700,0,0,0,0,0
516600,0,0,0,0,0
517500,0,0,0,0,0
518400,0,0,0,0,0
519300,0,0,0,0,0
520200,0,0,0,0,0
521100,0,0,0,0,0
522000,0,0,0,0,0
522900,0,0,0,0,0
523800,0,0,0,0,0
524700,0,0,0,0,0
525600,0,0,0,0,0
526500,0,0,0,0,0
527400,0,0,0,0,0
528300,0,0,0,0,0
529200,0,0,0,0,0
530100,0,0,0,0,0
531000,0,0,0,0,0
531900,0,0,0,0,0
532800,0,0,0,0,0
533700,0,0,0,0,0
534600,0,0,0,0,0
535500,0,0,0,0,0
536400,0,0,0,0,0
537300,0,0,0,0,0
538200,0,0,0,0,0
539100,0,0,0,0,0
540000,0,0,0,0,0
540900,0,0,0,0,0
541800,0,0,0,0,0
542700,0,0,0,0,0
543600,0,0,0,0,0
544500,0,0,0,0,0
545400,0,0,0,0,0
546300,0.94263196,0.94263196,0.94263196,0.94263196,0.11661426
547200,3.4199257,3.4199257,3.4199257,3.4199257,0.4230836
548100,6.9077487,6.9077487,6.9077487,6.9077487,0.8545669
549000,10.820182,10.820182,10.820182,10.820182,1.3385792
549900,16.76246,16.76246,16.76246,16.76246,2.0737064
550800,26.06505,26.06505,26.06505,26.06505,3.2245421
551700,37.589924,37.589924,37.589924,37.589924,4.6503
552600,50.182995,50.182995,50.182995,50.182995,6.2082057
553500,72.92735,68.75401,68.75401,71.30126,8.713504
554400,119.37841,93.87198,93.87198,107.85623,12.83439
555300,179.5353,119.065384,119.065384,147.65799,17.48425
556200,229.25586,139.48683,139.48683,174.84364,21.125975
557100,228.3264,145.03357,145.03357,171.37395,21.333015
558000,183.89632,136.8916,136.8916,148.48067,18.747223
558900,141.61182,127.19648,127.19648,130.25389,16.276041
559800,138.34593,128.93619,128.93619,130.64651,16.294788
560700,293.0035,161.54388,161.54388,168.32729,24.260368
561600,618.61597,215.51602,215.51602,223.24303,39.367764
562500,1008.18823,266.4046,263.99817,263.96524,55.74916
563400,1221.505,315.79376,283.81564,283.81564,65.10093
564300,1204.6465,348.58118,281.07614,281.07614,65.424126
565200,1168.6221,382.0198,274.24045,274.24045,64.921326
566100,1120.1921,414.6532,263.80038,263.80038,63.78699
567000,1066.3608,445.89105,250.25969,250.25969,62.25066
567900,1016.9557,478.3366,234.94545,234.94545,60.778862
568800,974.0017,513.46484,218.43385,218.43385,59.51549
