Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
177300,0,0,0,0,0
178200,0,0,0,0,0
179100,0,0,0,0,0
180000,0,0,0,0,0
180900,0,0,0,0,0
181800,0,0,0,0,0
182700,0,0,0,0,0
183600,0,0,0,0,0
184500,0,0,0,0,0
185400,0,0,0,0,0
186300,0,0,0,0,0
187200,0,0,0,0,0
188100,0,0,0,0,0
189000,0,0,0,0,0
189900,0,0,0,0,0
190800,0,0,0,0,0
191700,0,0,0,0,0
192600,0,0,0,0,0
193500,0,0,0,0,0
194400,0,0,0,0,0
195300,0,0,0,0,0
196200,0,0,0,0,0
197100,0,0,0,0,0
198000,0,0,0,0,0
198900,0,0,0,0,0
199800,0,0,0,0,0
200700,1.1808932,1.1808932,1.1808932,1.1808932,0.14608988
201600,4.6018333,4.6018333,4.6018333,4.6018333,0.569299
202500,10.110089,10.110089,10.110089,10.110089,1.2507327
203400,17.313795,17.496208,17.496208,17.28455,2.1522915
204300,42.83057,31.342684,31.342684,43.42952,4.6065607
205200,101.56159,51.830444,51.830444,98.24844,9.385699
206100,166.06914,72.713326,72.713326,149.89253,14.269742
207000,193.08995,88.11014,88.11014,164.11957,16.49783
207900,188.1574,98.12725,98.12725,154.62535,16.671255
208800,170.38179,106.36976,106.36976,141.16826,16.215141
209700,148.52235,112.1915,112.1915,129.71642,15.545003
210600,133.69531,114.9208,114.9208,123.209,15.053997
211500,125.84789,114.81357,114.81357,118.91474,14.671849
212400,117.60022,113.538475,113.538475,114.77344,14.209813
213300,112.45591,112.21778,112.21778,112.27449,13.891731
214200,111.707855,112.26634,112.26634,112.16943,13.86835
215100,113.17795,113.79528,113.79528,113.72746,14.056577
216000,115.05825,115.58104,115.58104,115.55659,14.28176
