Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
1537200,0,6125.153,269.95,0
1540800,0,6910.3623,269.95,0
1544400,0,7255.244,269.55,0
1548000,0,22.642324,269.65,0
1551600,0,0,269.75,0
1555200,0,0,269.75,0
1558800,0,0,269.75,0
1562400,0,0,269.85,0
1566000,0,0,270.15,0
1569600,0,0,269.95,0
1573200,0,0,269.85,0
1576800,0,0,269.75,0
1580400,0,0,269.75,0
1584000,0,2923.4053,269.45,1.0271739
1587600,0,7169.076,269.45,8.074017
1591200,0,7779.253,269.55,45.87381
1594800,0,7393.254,269.75,85.24951
1598400,0,6968.1743,270.15,64.51048
1602000,0,6806.194,270.65,56.661125
1605600,0,6556.4863,270.75,59.555264
1609200,0,6150.9204,270.75,30.912247
1612800,0,5850.4775,270.75,4.1363635
1616400,0,5711.7344,270.35,0
1620000,0,5757.476,270.25,0
1623600,0,6606.779,270.25,0
1627200,0,7392.3423,270.05,0
1630800,0,7695.3433,269.95,0
1634400,0,440.4979,269.85,0
1638000,0,0,269.95,0
1641600,0,0,269.45,0
1645200,0,0,269.05,0
1648800,0,0,268.85,0
1652400,0,0,268.85,0
1656000,0,0,268.75,0
1659600,0,0,268.75,0
1663200,0,0,268.95,0
1666800,0,0,269.15,0
1670400,0,4707.678,269.15,3.8513513
1674000,0,8894.922,269.35,27.14865
1677600,0,8759.645,269.75,42.556034
1681200,0,8168.9136,270.55,42.735634
1684800,0,7679.7407,270.75,40.166668
1688400,0,7392.005,271.55,30.551283
1692000,0,7131.534,272.05,21.67094
1695600,0,6644.957,272.45,14.024801
1699200,0,6177.2354,272.95,3.294643
1702800,0,5852.4272,273.15,0
1706400,0,5722.506,273.25,0
1710000,0,5568.8223,274.05,0
1713600,0,5199.0566,275.25,0
1717200,0,5815.489,275.85,0
1720800,0,0,276.35,0
1724400,0,0,276.65,0
1728000,0,0,276.25,0
1731600,0,0,276.35,0
1735200,0,0,276.35,0
1738800,0,0,276.15,0
1742400,0,0,275.75,0
1746000,0,0,275.45,0
1749600,0,0,275.25,0
1753200,0,0,275.05,0
1756800,0,3372.47,274.15,6.766164
1760400,0,7027.8657,274.65,60.52277
1764000,0,6501.753,274.65,79.47892
1767600,0,6137.3022,275.55,58.357143
1771200,0,5721.4155,275.95,51.015625
1774800,0,5512.475,275.85,49.977795
1778400,0,5378.033,276.15,49.63158
1782000,0,5040.933,276.25,33
1785600,0,4783.746,275.95,9.625
1789200,0,4697.8203,275.75,0
1792800,0,4802.2705,275.45,0
1796400,0,4912.996,275.25,0
1800000,0,5063.391,273.15,0
1803600,0,6412.593,270.75,0
1807200,0,200.69403,268.65,0
1810800,0,0,266.75,0
1814400,0,0,265.75,0
1818000,0,0,264.35,0
1821600,0,0,263.65,0
1825200,0,0,262.95,0
1828800,0,0,262.25,0
1832400,0,0,261.25,0
1836000,0,0,260.75,0
1839600,0,0,260.25,0
1843200,0,4734.019,260.15,7.4375
1846800,0,9362.189,260.35,83.757355
1850400,0,8319.67,261.05,179.37627
1854000,0,6945.0884,262.65,250.04565
1857600,0,6051.45,263.45,275.87854
1861200,0,5619.9995,263.45,260.90726
1864800,0,5057.6313,264.15,207.41626
1868400,0,4311.0933,264.35,118.48528
1872000,0,4366.235,263.45,22.695877
1875600,0,5174.604,262.45,0
1879200,0,5834.764,261.55,0
1882800,0,7114.772,260.95,0
1886400,0,8209.966,260.15,0
1890000,0,8810.412,259.25,0
1893600,0,1877.1233,259.05,0
