Time,sFH_FMU.E_to_grid,sFH_FMU.Q_DHW,sFH_FMU.Q_err_DHW,sFH_FMU.tot_vio_Kh,sFH_FMU.rev_elec,sFH_FMU.costs_elec,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.table_HT_NT.y[1],sFH_FMU.ts_T_inside_max,sFH_FMU.ts_T_inside_min,sFH_FMU.TDem_DHW,sFH_FMU.mFlow_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.price_el,sFH_FMU.Electricity.P_el_dom,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.outputs.outputsDem.dch_DHW,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.dch_TES,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.outputs.outputsElec.res_elec
19800,0,0,0,0.2541672,0,0.8678215,0.083787315,0.316,291.65,291.15,283.15,0,0,60.73194,0.000346,60.73194,333.73077,311.15268,2229.5195,0,925.3096,0,2344.8162,0,312.26776,309.7303,291.44562,0,0,293.01147,302.29852,494.89426,712.18616,0,292.4379,0,0,0,0,0,7.263441e-05,0,0,0.19986013,0,986.0415,986.0415
20700,0,0,0,0.26792872,0,0.89208144,0.083787315,0.316,291.65,291.15,283.15,0,0,62.088127,0.000346,62.088127,333.69766,310.86655,2421.1501,0,1014.28723,0,2589.6155,0,311.97037,309.2148,291.61038,0,0,293.43234,302.69107,735.89844,1026.1921,0,293.08588,0,0,0,0,0,7.263441e-05,0,0,0.19985318,0,1076.3754,1076.3754
21600,0,0,0,0.2799329,0,0.91559213,0.08566567,0.376,291.65,291.15,283.15,0,0,61.655876,0.000346,61.655876,333.6646,310.52078,2788.3103,0,1175.3347,0,3021.311,0,311.67795,308.5045,291.76517,0,0.11515795,294.0526,303.25992,1128.0055,1490.9366,0,294.02682,0,0,0,0,0,7.263441e-05,0,0,0.19984625,0,1236.9906,1236.9906
22500,0,0,0,0.28764182,0,0.93927115,0.08566567,0.376,291.65,291.15,283.15,0,0,197.23967,0.000346,197.23967,333.6316,310.14728,3271.9827,0,1372.9258,0,3551.021,0,311.39243,307.66852,291.84882,0,0.19882362,294.97614,304.13712,1773.2351,2187.3948,0,295.40417,0,0,0,0,0,7.263441e-05,0,0,0.19983931,0,1570.1655,1570.1655
23400,0,0,0,0.29527584,0,0.9657329,0.08566567,0.376,291.65,291.15,283.15,0,0,352.88446,0.000346,352.88446,333.59857,309.75253,3917.4316,0,1509.2338,0,3920.125,0,311.20328,306.74475,291.73984,0,0.0898369,296.3667,305.4982,2842.6028,3247.023,0,297.4393,0,0,0,0,0,7.263441e-05,0,0,0.19983236,0,1862.1182,1862.1182
24300,0,0,0,0.3080002,0,0.99612623,0.08566567,0.376,291.65,291.15,283.15,0,0,2039.4061,0.000346,2039.4061,333.5656,310.0975,3931.3745,0,1220.9116,0,3141.3992,0,311.60068,307.12628,291.36838,0,0,302.99207,311.8494,2661.914,2886.6519,12286.517,296.70554,0,0,0,0,0,7.263441e-05,0,0,0.19982544,0,3260.3176,3260.3176
25200,0,0,0,0.32102624,0,1.0643106,0.09130074,0.376,291.65,291.15,328.15,0.05666667,0,2012.2861,0.000346,2012.2861,333.53265,311.09845,2112.1208,0,833.10956,0,2100,0,312.39322,309.98935,291.14343,12112.17,0.006578319,298.79172,310.4452,706.48785,780.93036,16165.229,292.55994,0,0,0,0,0,7.263441e-05,0,0,0.19981849,0,2845.3958,2845.3958
26100,0,2.6673129,0.0001708451,0.34736878,0,1.1354289,0.09130074,0.376,291.65,291.15,283.15,0,0,990.90924,0.000346,990.90924,325.9388,311.31158,1824.0853,0,833.74176,0,2100,0,312.38907,310.31302,291.45435,0,0,292.6024,301.779,190.81592,404.43677,0,291.83694,0,0,0,0,0,7.263441e-05,0,0,0.19981155,0,1824.651,1824.651
27000,0,2.6673129,0.0001708451,0.34796473,0,1.1776935,0.09130074,0.376,291.65,291.15,286.15,0.01,0,1710.2572,0.000346,1710.2572,325.91547,310.8133,3513.8765,0,1203.2319,0,3086.7568,0,311.62418,307.62497,291.76834,125.414116,0.118342586,296.1463,305.8381,2670.374,3070.5874,0,297.12247,0,0,0,0,0,7.263441e-05,0,0,0.19980462,0,2913.489,2913.489
27900,0,2.6986928,0.0001708451,0.37544838,0,1.2380387,0.09130074,0.376,291.65,291.15,283.15,0,0,2158.9053,0.000346,2158.9053,325.80008,312.218,1821.8522,0,858.3121,0,2100,0,313.58267,311.5092,291.32162,0,0,292.40457,302.09637,100.895256,260.2977,0,291.52393,0,0,0,0,0,7.263441e-05,0,0,0.19979768,0,3017.2173,3017.2173
28800,0,2.6986928,0.0001708451,0.39227033,0,1.3078398,0.10480802,0.376,294.15,293.65,286.15,0.01,0,1787.0587,0.000346,1787.0587,325.7737,311.82614,1997.7435,0,2760.6611,0,7000,0,312.02237,309.7487,291.93774,125.39397,1.7122474,295.17514,313.16702,1137.6375,1571.5763,24957.57,294.21872,0,0,0,0,0,7.263441e-05,0,0,0.19979075,0,4547.7197,4547.7197
29700,0,2.7300727,0.0001708451,0.6263644,0,1.4321747,0.10480802,0.376,294.15,293.65,286.15,0.01,0,320.9299,0.000346,320.9299,325.65845,309.5338,7067.272,0,2980.1365,0,7000,0,315.28207,307.23865,293.2098,125.495834,0.44019282,306.264,312.28232,3589.4128,4715.969,8348.356,300.40662,0,0,0,0,0,7.263441e-05,0,0,0.1997838,0,3301.0664,3301.0664
30600,0,2.761453,0.0001708451,0.725985,0,1.518309,0.10480802,0.376,294.15,293.65,286.15,0.01,0,2526.6292,0.000346,2526.6292,325.54327,308.78284,7085.43,0,2952.2688,0,7000,0,314.66934,306.60526,293.25195,125.496254,0.39805534,305.7279,311.49292,3423.038,4538.076,7996.9805,300.11517,0,0,0,0,0,7.263441e-05,0,0,0.19977687,0,5478.898,5478.898
31500,0,2.7928329,0.0001708451,0.82935166,0,1.6614486,0.10480802,0.376,294.15,293.65,286.15,0.01,0,1738.855,0.000346,1738.855,325.42822,308.22003,7065.5605,0,2928.2979,0,7000,0,314.1479,306.1064,293.22278,125.49619,0.42723018,305.30545,310.8971,3314.2979,4388.7295,7756.4697,299.86798,26.091433,0,0,0,0,7.263441e-05,0,0,0.19976993,0,4641.0615,4667.153
32400,0,2.8242128,0.0001708451,0.9382183,0,1.7819033,0.14784135,0.376,294.15,293.65,286.15,0.01,0,844.0668,0.000346,844.0668,325.31323,307.79138,7049.6797,0,2902.6853,0,7000,0,313.75043,305.72702,293.20895,125.49612,0.44103232,304.98553,310.4428,3229.3655,4273.674,7570.0977,299.6839,93.934845,0,0,0,0,7.263441e-05,0,0,0.199763,0,3652.8174,3746.7522
33300,0,2.8555927,0.0001708451,1.060384,0,1.9147619,0.14784135,0.376,294.15,293.65,283.15,0,0,2371.7942,0.000346,2371.7942,325.19833,307.46228,7038.56,0,2870.8682,0,7000,0,313.44394,305.4332,293.14636,0,0.5036234,304.73386,310.09537,3183.4841,4176.028,7437.238,299.5293,180.06738,0,0,0,0,7.263441e-05,0,0,0.19975606,0,5062.595,5242.6626
34200,0,2.8555927,0.0001708451,1.1854938,0,2.099767,0.14784135,0.376,294.15,293.65,286.15,0.01,0,889.6039,0.000346,889.6039,325.17245,307.21225,7028.556,0,2837.5625,0,7000,0,313.21274,305.21338,293.155,125.39377,0.4950034,304.55093,309.82956,3129.9814,4104.9683,7322.2866,299.43063,257.16345,0,0,0,0,7.263441e-05,0,0,0.19974913,0,3470.003,3727.1663
35100,0,2.886973,0.0001708451,1.3070916,0,2.2262533,0.14784135,0.376,294.15,293.65,283.15,0,0,396.72815,0.000346,396.72815,325.05765,307.02747,7020.9414,0,2806.4958,0,7000,0,313.04294,305.05225,293.17273,0,0.477284,304.4183,309.63248,3087.6475,4050.7205,7232.904,299.3635,317.62076,0,0,0,0,7.263441e-05,0,0,0.19974218,0,2885.6033,3203.2239
36000,0,2.886973,0.0001708451,1.4236523,0,2.3313682,0.16206619,0.376,294.15,293.65,283.15,0,0,413.67728,0.000346,413.67728,325.03183,306.89188,7015.025,0,2781.3057,0,7000,0,312.91898,304.93503,293.19534,0,0.45465887,304.3232,309.4873,3054.377,4008.8206,7163.379,299.3194,373.9794,0,0,0,0,7.263441e-05,0,0,0.19973525,0,2821.0037,3194.983
36900,0,2.886973,0.0001708451,1.5341486,0,2.4441707,0.16206619,0.376,294.15,293.65,283.15,0,0,224.10497,0.000346,224.10497,325.00604,306.795,7010.4653,0,2761.4185,0,7000,0,312.83112,304.85236,293.22113,0,0.4288844,304.25763,309.38303,3028.4722,3976.6165,7109.733,299.29324,427.21063,0,0,0,0,7.263441e-05,0,0,0.19972831,0,2558.3127,2985.5234
37800,0,2.886973,0.0001708451,1.6378198,0,2.5464218,0.16206619,0.376,294.15,293.65,285.15,0.003333333,0,180.01332,0.000346,180.01332,324.98022,306.72806,7006.9326,0,2743.6663,0,7000,0,312.77112,304.7964,293.24985,27.819803,0.40014485,304.2149,309.3104,3008.0925,3951.881,7068.21,299.28113,478.2235,0,0,0,0,7.263441e-05,0,0,0.19972138,0,2445.456,2923.6797
38700,0,2.8939462,0.0001708451,1.7341923,0,2.64498,0.16206619,0.376,294.15,293.65,283.15,0,0,169.29643,0.000346,169.29643,324.93472,306.68423,7004.2935,0,2728.2449,0,7000,0,312.73267,304.76093,293.2786,0,0.37141928,304.18933,309.2622,2992.4631,3933.8643,7036.892,299.2785,473.15552,0,0,0,0,7.263441e-05,0,0,0.19971445,0,2424.3857,2897.5413
39600,0,2.8939462,0.0001708451,1.823863,0,2.7442732,0.17749403,0.376,294.15,293.65,283.15,0,0,591.0159,0.000346,591.0159,324.909,306.65732,7002.425,0,2715.3691,0,7000,0,312.70963,304.74,293.30377,0,0.34622553,304.1755,309.23218,2981.2627,3920.777,7014.4063,299.28125,402.4631,0,0,0,0,7.263441e-05,0,0,0.19970751,0,2903.9219,3306.385
40500,0,2.8939462,0.0001708451,1.9073172,0,2.874612,0.17749403,0.376,294.15,293.65,283.15,0,0,2575.9849,0.000346,2575.9849,324.88327,306.64282,7001.0146,0,2707.798,0,7000,0,312.69794,304.72992,293.32813,0,0.3218754,304.17075,309.21536,2972.9487,3910.8035,6997.6675,299.2889,333.48584,0,0,0,0,7.263441e-05,0,0,0.19970058,0,4950.2974,5283.783
41400,0,2.8939462,0.0001708451,1.9846249,0,3.0945399,0.17749403,0.376,294.15,293.65,286.15,0.01,0,4125.7207,0.000346,4125.7207,324.85757,306.63757,6999.876,0,2705.4065,0,7000,0,312.6949,304.72815,293.3539,125.05207,0.29608247,304.17328,309.2083,2966.3516,3902.4893,6984.3833,299.30148,332.77588,0,0,0,0,7.263441e-05,0,0,0.19969365,0,6498.3516,6831.1274
42300,0,2.925326,0.0001708451,2.0546978,0,3.3804207,0.17749403,0.376,294.15,293.65,286.15,0.01,0,5426.3457,0.000346,5426.3457,324.74304,306.64035,6998.725,0,2704.2925,0,7000,0,312.69955,304.73416,293.38754,125.49379,0.26246533,304.18353,309.20938,2959.669,3894.0513,6971.651,299.32172,466.0157,0,0,0,0,7.263441e-05,0,0,0.1996867,0,7664.6226,8130.6387
43200,0,2.9567063,0.0001708451,2.114704,0,3.7154596,0.19994989,0.376,294.15,293.65,283.15,0,0,4210.5483,0.000346,4210.5483,324.6286,306.6515,6997.4336,0,2700.6643,0,7000,0,312.71277,304.7488,293.4342,0,0.2158062,304.2029,309.2187,2951.7146,3884.3677,6957.649,299.35242,699.5669,0,0,0,0,7.263441e-05,0,0,0.19967978,0,6211.6455,6911.2124
44100,0,2.9567063,0.0001708451,2.1499033,0,4.0194464,0.19994989,0.376,294.15,293.65,283.15,0,0,2227.8145,0.000346,2227.8145,324.60312,306.67654,6994.904,0,2690.992,0,7000,0,312.74164,304.78058,293.55493,0,0.095058694,304.24347,309.2402,2921.6736,3884.992,6931.269,299.41293,946.25745,0,0,0,0,7.263441e-05,0,0,0.19967285,0,3972.5488,4918.806
45000,0,2.9567063,0.0001708451,2.165667,0,4.2129126,0.19994989,0.376,294.15,293.65,283.15,0,0,2244.442,0.000346,2244.442,324.57764,306.71185,6994.319,0,2677.1182,0,7000,0,312.77896,304.81857,293.61743,0,0.032557894,304.28415,309.27417,2914.2705,3882.5461,6921.946,299.4606,1119.1788,0,0,0,0,7.263441e-05,0,0,0.1996659,0,3802.3813,4921.56
45900,0,2.9567063,0.0001708451,2.167967,0,4.3998666,0.19994989,0.376,294.15,293.65,289.15,0.008888889,0,2348.3872,0.000346,2348.3872,324.55215,306.75183,6993.7275,0,2664.3877,0,7000,0,312.81995,304.86023,293.67905,222.5598,0,304.32825,309.31326,2908.5356,3878.8105,6914.999,299.5107,1227.7623,0,0,0,0,7.263441e-05,0,0,0.19965898,0,3785.0127,5012.775
46800,0,3.012493,0.0001708451,2.167967,0,4.586723,0.20429754,0.376,294.15,293.65,283.15,0,0,604.79254,0.000346,604.79254,324.3687,306.79703,6992.95,0,2658.5723,0,7000,0,312.8665,304.90765,293.7496,0,0,304.37836,309.35727,2901.648,3875.9812,6906.5396,299.56744,1307.3506,0,0,0,0,7.263441e-05,0,0,0.19965205,0,1956.0144,3263.365
47700,0,3.012493,0.0001708451,2.167967,0,4.685765,0.20429754,0.376,294.15,293.65,283.15,0,0,252.49046,0.000346,252.49046,324.34344,306.84744,6992.2856,0,2659.6545,0,7000,0,312.9182,304.9601,293.8285,0,0,304.43323,309.40662,2892.6301,3876.6533,6898.867,299.62823,1330.587,0,0,0,0,7.263441e-05,0,0,0.19964512,0,1581.558,2912.145
48600,0,3.012493,0.0001708451,2.167967,0,4.7676663,0.20429754,0.376,294.15,293.65,283.15,0,0,1792.814,0.000346,1792.814,324.31818,306.90018,6992.4355,0,2663.6248,0,7000,0,312.97134,305.0131,293.88437,0,0,304.48584,309.45923,2890.9417,3879.223,6898.88,299.68076,1278.7628,0,0,0,0,7.263441e-05,0,0,0.19963819,0,3177.6758,4456.4385
