Time,sFH_FMU.E_to_grid,sFH_FMU.Q_DHW,sFH_FMU.Q_err_DHW,sFH_FMU.tot_vio_Kh,sFH_FMU.rev_elec,sFH_FMU.costs_elec,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.table_HT_NT.y[1],sFH_FMU.ts_T_inside_max,sFH_FMU.ts_T_inside_min,sFH_FMU.TDem_DHW,sFH_FMU.mFlow_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.price_el,sFH_FMU.Electricity.P_el_dom,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.outputs.outputsDem.dch_DHW,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.dch_TES,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.outputs.outputsElec.res_elec
33300,0,2.8555934,0.0001723539,1.493253,0,1.8524381,0.14784135,0.376,294.15,293.65,283.15,0,0,2371.7942,0.000346,2371.7942,325.19833,305.5414,6386.424,0,2843.7947,0,6365.9053,0,317.3599,310.09137,292.80838,0,0.8416063,302.7678,307.38464,2737.2373,3568.1292,6404.3115,298.2966,180.06738,0,0,0,0,7.263441e-05,0,0,0.19975606,0,5035.5215,5215.589
34200,0,2.8555934,0.0001723539,1.7000319,0,2.035757,0.14784135,0.376,294.15,293.65,286.15,0.01,0,889.6039,0.000346,889.6039,325.17245,305.50403,6298.7393,0,2770.353,0,6263.6113,0,317.16156,309.9928,292.83792,125.39377,0.8120704,302.74496,307.33615,2722.851,3551.7817,6368.6826,298.29727,257.16345,0,0,0,0,7.263441e-05,0,0,0.19974913,0,3402.7935,3659.9568
35100,0,2.8869734,0.0001723539,1.8995148,0,2.1589172,0.14784135,0.376,294.15,293.65,283.15,0,0,396.72815,0.000346,396.72815,325.05765,305.43073,6197.46,0,2691.5576,0,6158.7783,0,316.90012,309.84665,292.8656,0,0.78440577,302.69315,307.24622,2700.8186,3526.6729,6315.853,298.28076,317.62076,0,0,0,0,7.263441e-05,0,0,0.19974218,0,2770.6648,3088.2856
36000,0,2.8869734,0.0001723539,2.0925822,0,2.2590747,0.16206619,0.376,294.15,293.65,283.15,0,0,413.67728,0.000346,413.67728,325.03183,305.33286,6117.367,0,2630.9875,0,6086.065,0,316.65213,309.68982,292.8893,0,0.7606883,302.62106,307.1298,2674.1465,3494.9685,6254.3413,298.251,373.9794,0,0,0,0,7.263441e-05,0,0,0.19973525,0,2670.6853,3044.6648
36900,0,2.8869734,0.0001723539,2.2800355,0,2.3651633,0.16206619,0.376,294.15,293.65,283.15,0,0,224.10497,0.000346,224.10497,325.00604,305.23065,6058.8447,0,2582.2117,0,6028.6064,0,316.44144,309.54575,292.91043,0,0.7395628,302.5451,307.01007,2647.0168,3461.8357,6193.6284,298.21774,427.21063,0,0,0,0,7.263441e-05,0,0,0.19972831,0,2379.106,2806.3167
37800,0,2.8869734,0.0001723539,2.4623427,0,2.4595585,0.16206619,0.376,294.15,293.65,285.15,0.003333333,0,180.01332,0.000346,180.01332,324.98022,305.13004,6002.116,0,2535.2349,0,5973.0654,0,316.23575,309.4046,292.93106,27.819979,0.71892744,302.47034,306.89236,2620.3813,3429.1582,6134.014,298.18497,478.2235,0,0,0,0,7.263441e-05,0,0,0.19972138,0,2237.0247,2715.2483
38700,0,2.8939466,0.0001723539,2.6397035,0,2.5491152,0.16206619,0.376,294.15,293.65,283.15,0,0,169.29643,0.000346,169.29643,324.93472,305.0322,5950.623,0,2492.8564,0,5923.99,0,316.04236,309.2698,292.94913,0,0.70086473,302.3972,306.7781,2594.8691,3398.1538,6077.0005,298.1519,473.15552,0,0,0,0,7.263441e-05,0,0,0.19971445,0,2188.9973,2662.1528
39600,0,2.8939466,0.0001723539,2.8132572,0,2.638398,0.17749403,0.376,294.15,293.65,283.15,0,0,591.0159,0.000346,591.0159,324.909,304.9391,5907.877,0,2457.4153,0,5884.8887,0,315.86978,309.14587,292.96198,0,0.6880314,302.32675,306.6701,2571.6948,3369.1094,6024.901,298.11826,402.4631,0,0,0,0,7.263441e-05,0,0,0.19970751,0,2645.968,3048.4312
40500,0,2.8939466,0.0001723539,2.983758,0,2.7571373,0.17749403,0.376,294.15,293.65,283.15,0,0,2575.9849,0.000346,2575.9849,324.88327,304.8573,5890.692,0,2443.5012,0,5880.284,0,315.75464,309.05032,292.97324,0,0.6767559,302.2648,306.5759,2551.2864,3342.7769,5980.16,298.0886,333.48584,0,0,0,0,7.263441e-05,0,0,0.19970058,0,4686,5019.486
41400,0,2.8939466,0.0001723539,3.1513143,0,2.9654536,0.17749403,0.376,294.15,293.65,286.15,0.01,0,4125.7207,0.000346,4125.7207,324.85757,304.79913,5897.85,0,2445.007,0,5894.2754,0,315.7096,308.99713,292.9869,125.05229,0.66308624,302.22195,306.50937,2535.4177,3321.5635,5947.3296,298.07047,332.77588,0,0,0,0,7.263441e-05,0,0,0.19969365,0,6237.9517,6570.7275
