Time,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.costs_elec
61200,0.4465646,9.447259
62100,0.4465646,9.845336
63000,0.4465646,10.258486
63900,0.4465646,10.796365
64800,0.4357258,11.640243
65700,0.4357258,12.456697
66600,0.4357258,13.267278
67500,0.4357258,14.088481
68400,0.41771075,14.876901
69300,0.41771075,15.393372
70200,0.41771075,15.918219
71100,0.41771075,16.438961
72000,0.3629212,16.895134
72900,0.3629212,17.25613
73800,0.3629212,17.608381
74700,0.3629212,17.953142
75600,0.30554107,18.298532
76500,0.30554107,18.650675
77400,0.30554107,19.121975
78300,0.30554107,19.572666
79200,0.29020596,20.01711
80100,0.29020596,20.278006
81000,0.29020596,20.534203
81900,0.29020596,20.794525
82800,0.25358033,21.048508
83700,0.25358033,21.268877
84600,0.25358033,21.275322
85500,0.25358033,21.279251
86400,0.16996671,21.2831
87300,0.16996671,21.285683
88200,0.16996671,21.288244
89100,0.16996671,21.290852
90000,0.15659687,21.293463
90900,0.15659687,21.295872
91800,0.15659687,21.298271
92700,0.15659687,21.300646
93600,0.14581762,21.30304
94500,0.14581762,21.305283
95400,0.14581762,21.307491
96300,0.14581762,21.309721
97200,0.10404059,21.311869
98100,0.10404059,21.314396
99000,0.10404059,21.317783
99900,0.10404059,21.321053
100800,0.0880206,21.326681
101700,0.0880206,21.33035
102600,0.0880206,21.333712
103500,0.0880206,21.336899
104400,0.10115223,21.338299
105300,0.10115223,21.339857
106200,0.10115223,21.341436
107100,0.10115223,21.343025
108000,0.10278996,21.37479
108900,0.10278996,21.423756
109800,0.10278996,21.458628
110700,0.10278996,21.466084
111600,0.12446757,21.470213
112500,0.12446757,21.481136
113400,0.12446757,21.493378
114300,0.12446757,21.537552
115200,0.14575808,21.607616
116100,0.14575808,21.767965
117000,0.14575808,21.906332
117900,0.14575808,22.043602
118800,0.17869136,22.237335
119700,0.17869136,22.47233
120600,0.17869136,22.675558
121500,0.17869136,22.817646
122400,0.2087065,22.957718
123300,0.2087065,23.11128
124200,0.2087065,23.257092
125100,0.2087065,23.395754
126000,0.19730194,23.539162
126900,0.19730194,23.668018
127800,0.19730194,23.78998
128700,0.19730194,23.92267
129600,0.1921803,24.061478
130500,0.1921803,24.160288
131400,0.1921803,24.25389
132300,0.1921803,24.345098
133200,0.13983245,24.437195
134100,0.13983245,24.506018
135000,0.13983245,24.579462
135900,0.13983245,24.654634
136800,0.11913749,24.732264
137700,0.11913749,24.800772
138600,0.11913749,24.868689
139500,0.11913749,24.940697
140400,0.08668064,25.015505
141300,0.08668064,25.071568
142200,0.08668064,25.129034
143100,0.08668064,25.187286
144000,0.09754922,25.24647
144900,0.09754922,25.34318
145800,0.09754922,25.507776
146700,0.09754922,25.673817
147600,0.12795146,25.781443
148500,0.12795146,26.0019
149400,0.12795146,26.222925
150300,0.12795146,26.44274
151200,0.18152016,26.660051
152100,0.18152016,26.855812
153000,0.18152016,27.003683
