Time,sFH_FMU.Electricity.P_el_dom,sFH_FMU.TDem_DHW
392400,61.63749,283.15
393300,104.464966,283.15
394200,143.85077,283.15
395100,140.75615,283.15
396000,142.12769,283.15
396900,139.49684,283.15
397800,233.2571,286.15
398700,236.78735,283.15
399600,228.35637,283.15
400500,192.09366,283.15
401400,159.89108,286.15
402300,182.79112,283.15
403200,227.23093,283.15
404100,362.12686,283.15
405000,472.91772,286.15
405900,793.95135,283.15
406800,4349.3364,283.15
407700,4382.943,283.15
408600,4252.424,283.15
409500,4213.136,283.15
410400,4416.4077,286.15
411300,4290.697,285.15
412200,4321.3,285.15
413100,4309.599,283.15
414000,4340.528,286.15
414900,4400.837,283.15
415800,976.69116,283.15
416700,845.07526,283.15
417600,1819.3918,283.15
418500,1795.7029,283.15
419400,1637.6138,295.15
420300,1502.4446,283.15
421200,569.07294,283.15
422100,596.30273,286.15
423000,530.1839,297.15
423900,432.62573,283.15
424800,366.23413,283.15
425700,160.95123,283.15
426600,161.42369,283.15
427500,162.56702,283.15
428400,159.71027,283.15
429300,161.25613,283.15
430200,161.86282,283.15
431100,182.49951,283.15
432000,152.72139,283.15
432900,61.79462,283.15
433800,60.47731,283.15
434700,60.208794,283.15
435600,132.25896,283.15
436500,151.80763,283.15
437400,155.21745,283.15
438300,154.88803,283.15
439200,95.71813,283.15
440100,125.116165,283.15
441000,127.11008,283.15
441900,133.97287,283.15
442800,104.240685,283.15
443700,61.239635,283.15
444600,61.86407,283.15
445500,60.71355,283.15
446400,60.526825,283.15
447300,61.02698,283.15
448200,60.3644,283.15
449100,59.942505,283.15
450000,60.401188,283.15
450900,61.544346,283.15
451800,62.632492,283.15
452700,57.73158,283.15
453600,247.42526,283.15
454500,2614.1936,283.15
455400,2127.6868,283.15
456300,758.6711,283.15
457200,621.1929,300.15
458100,507.07568,283.15
459000,504.23813,286.15
459900,2442.796,283.15
460800,2028.7899,286.15
461700,498.42477,286.15
462600,4044.9663,286.15
463500,2691.3894,286.15
464400,223.999,286.15
465300,309.57196,283.15
466200,270.7385,286.15
467100,260.4969,283.15
468000,256.15955,283.15
468900,256.20984,283.15
469800,149.90565,285.15
470700,143.12868,283.15
471600,1827.4814,283.15
472500,2836.3796,283.15
473400,4360.1816,286.15
474300,5546.8984,328.15
475200,3869.365,312.15
476100,2338.3916,328.15
477000,2335.5322,283.15
477900,2199.7083,289.15
478800,429.30923,283.15
479700,1250.1178,283.15
480600,2007.7267,283.15
481500,2034.5668,283.15
482400,485.44342,283.15
483300,121.21965,283.15
484200,124.59572,286.15
485100,143.84883,283.15
486000,145.01056,283.15
486900,151.91545,283.15
487800,144.08855,286.15
488700,126.00794,283.15
489600,254.85727,283.15
490500,445.68832,283.15
491400,1717.4252,286.15
492300,4382.8267,283.15
493200,4439.2603,283.15
494100,4386.0244,283.15
495000,4316.9116,283.15
495900,4324.32,283.15
496800,4330.678,286.15
497700,4306.6504,285.15
498600,4306.891,285.15
499500,4291.623,283.15
500400,1927.9382,286.15
501300,1630.5984,283.15
502200,1694.019,283.15
503100,1634.4225,283.15
504000,1629.1671,283.15
504900,819.02893,283.15
505800,605.2718,328.15
506700,657.6336,283.15
507600,651.0347,283.15
508500,611.0323,286.15
509400,522.71173,297.15
510300,377.5896,283.15
511200,398.67743,283.15
512100,449.40915,283.15
513000,449.88196,283.15
513900,446.8067,283.15
514800,397.6896,283.15
515700,359.27283,283.15
516600,286.29993,283.15
517500,221.78737,283.15
518400,59.854515,283.15
519300,61.477524,283.15
520200,61.197655,283.15
521100,60.508217,283.15
522000,60.929745,283.15
522900,61.42641,283.15
523800,125.199066,283.15
524700,130.906,283.15
525600,132.02283,283.15
526500,131.35368,283.15
527400,115.33291,283.15
528300,96.6058,283.15
529200,155.13881,283.15
530100,153.8766,283.15
531000,155.60135,283.15
531900,81.27233,283.15
532800,62.401043,283.15
533700,61.679333,283.15
534600,61.543545,283.15
535500,60.452538,283.15
536400,60.73193,283.15
537300,60.85334,283.15
538200,60.470715,283.15
539100,61.331654,283.15
540000,60.687965,283.15
540900,61.68361,283.15
541800,60.670204,283.15
542700,60.95846,283.15
543600,103.48005,300.15
544500,646.1254,283.15
545400,2573.1306,286.15
546300,2141.0308,283.15
547200,854.38226,286.15
548100,2399.6355,286.15
549000,1479.9547,286.15
549900,195.55347,286.15
550800,397.96838,286.15
551700,120.4528,283.15
552600,122.50988,286.15
553500,127.10358,283.15
554400,1998.902,283.15
555300,1155.2993,283.15
556200,220.51439,285.15
557100,251.17729,283.15
558000,82.86299,283.15
558900,144.82486,283.15
559800,179.08401,286.15
560700,282.23273,286.15
561600,1774.8871,283.15
562500,5708.3193,283.15
563400,6622.745,283.15
564300,4736.4463,328.15
565200,5207.0176,283.15
566100,3808.717,283.15
567000,2259.3982,283.15
567900,2000.2699,283.15
568800,1444.7915,283.15
569700,126.089294,283.15
570600,182.62645,286.15
571500,259.55838,283.15
572400,250.0236,283.15
573300,253.80916,283.15
574200,86.958534,286.15
575100,97.6603,283.15
576000,188.14792,283.15
576900,297.2126,283.15
577800,379.0123,286.15
578700,376.42526,283.15
579600,383.35367,283.15
580500,522.7318,283.15
581400,553.52386,283.15
582300,1248.4327,283.15
583200,4180.4653,295
584100,4135.572,285.15
585000,3954.1619,285.15
585900,4010.1125,283.15
586800,4168.7114,286.15
587700,4696.483,283.15
588600,4906.647,283.15
589500,5303.2217,283.15
590400,5342.65,283.15
591300,5329.5723,283.15
592200,892.06335,295.15
593100,613.6393,283.15
594000,547.9053,283.15
594900,545.74976,286.15
595800,613.46204,297.15
596700,619.74695,283.15
597600,617.4469,283.15
598500,518.0568,283.15
599400,347.8188,283.15
600300,293.41876,283.15
601200,297.2641,283.15
602100,287.68604,283.15
603000,224.42474,283.15
603900,209.14034,283.15
604800,209.14034,283.15
