Electricity.Timestep;Sum [kWh]
7275;0.037951909
7290;0.03880436
7305;0.038722007
7320;0.023929534
7335;0.031279042
7350;0.031777523
7365;0.033493217
7380;0.026060173
7395;0.01530991
7410;0.015466017
7425;0.015178388
7440;0.015131707
7455;0.015256745
7470;0.0150911
7485;0.014985625
7500;0.015100299
7515;0.015386085
7530;0.015658123
7545;0.014432894
7560;0.061856317
7575;0.653548404
7590;0.531921664
7605;0.189667777
7620;0.155298218
7635;0.126768918
7650;0.126059531
7665;0.610698979
7680;0.507197484
7695;0.124606195
7710;1.011241561
7725;0.672847353
7740;0.055999747
7755;0.077392991
7770;0.067684622
7785;0.06512422
7800;0.064039888
7815;0.064052459
7830;0.037476412
7845;0.03578217
7860;0.456870368
7875;0.709094909
7890;1.090045399
7905;1.386724636
7920;0.967341222
7935;0.584597898
7950;0.583883054
7965;0.54992708
7980;0.107327309
7995;0.312529441
8010;0.501931687
8025;0.508641682
8040;0.121360856
8055;0.030304914
8070;0.031148931
8085;0.035962211
8100;0.036252641
8115;0.037978862
8130;0.036022138
8145;0.031501985
8160;0.063714318
8175;0.111422085
8190;0.121022952
8205;0.170706662
8220;0.184815069
8235;0.171506039
8250;0.154227874
8265;0.156079987
8280;0.157669517
8295;0.151662569
8310;0.151722769
8325;0.147905775
8340;0.235317892
8355;0.407649599
8370;0.423504753
8385;0.408605631
8400;0.407291763
8415;0.20475723
8430;0.151317952
8445;0.164408394
8460;0.162758683
8475;0.152758064
8490;0.130677928
8505;0.094397402
8520;0.09966936
8535;0.112352289
8550;0.112470491
8565;0.111701671
8580;0.099422402
8595;0.089818209
8610;0.071574979
8625;0.055446842
8640;0.014963629
8655;0.015369379
8670;0.015299414
8685;0.015127055
8700;0.015232435
8715;0.0153566
8730;0.031299767
8745;0.032726503
8760;0.033005707
8775;0.032838418
8790;0.028833227
8805;0.02415145
8820;0.038784699
8835;0.038469151
8850;0.038900339
8865;0.020318083
8880;0.015600262
8895;0.015419833
8910;0.015385885
8925;0.015113134
8940;0.015182983
8955;0.015213334
8970;0.01511768
8985;0.015332912
9000;0.01517199
9015;0.015420902
9030;0.01516755
9045;0.015239615
9060;0.025870014
9075;0.161531362
9090;0.643282633
9105;0.535257677
9120;0.213595563
9135;0.599908862
9150;0.369988677
9165;0.048888365
9180;0.099492098
9195;0.030113198
9210;0.030627471
9225;0.031775895
9240;0.499725481
9255;0.288824821
9270;0.055128597
9285;0.062794322
9300;0.020715747
9315;0.036206213
9330;0.044771
9345;0.070558179
9360;0.073721766
9375;0.502079824
9390;0.730686325
9405;1.122444864
9420;1.301754366
9435;0.952179237
9450;0.564849569
9465;0.500067465
9480;0.361197876
9495;0.031522324
9510;0.045656609
9525;0.064889595
9540;0.062505901
9555;0.06345229
9570;0.021739633
9585;0.024415076
9600;0.04703698
9615;0.074303151
9630;0.094753076
9645;0.094106319
9660;0.095838419
9675;0.130682948
9690;0.138380968
9705;0.127108196
9720;0.120116326
9735;0.108892922
9750;0.06354046
9765;0.077528129
9780;0.117177886
9795;0.249120737
9810;0.363328375
9825;0.400805355
9840;0.410662474
9855;0.407393019
9870;0.22301584
9885;0.15340982
9900;0.136976325
9915;0.13643744
9930;0.153365505
9945;0.154936736
9960;0.15436173
9975;0.129514202
9990;0.086954694
10005;0.073354691
10020;0.074316026
10035;0.071921506
10050;0.056106185
10065;0.052285085
10080;0.015158673
10095;0.015166245
10110;0.015022753
10125;0.015420796
10140;0.015176554
10155;0.015191521
10170;0.015011472
10185;0.015031877
10200;0.015547792
10215;0.01509211
10230;0.015106361
10245;0.01555953
10260;0.040867941
10275;0.056807633
10290;0.057548869
10305;0.056231089
10320;0.057038699
10335;0.01683872
10350;0.015618727
10365;0.015440998
10380;0.015334089
10395;0.015578476
10410;0.01525891
10425;0.014832412
10440;0.036461361
10455;0.06501874
10470;0.481062993
10485;0.485671921
10500;0.152351689
10515;0.085282614
10530;0.365998657
10545;0.546245459
10560;0.804557216
10575;0.355583249
10590;0.098167345
10605;0.106595491
10620;0.145785149
10635;0.14935881
10650;0.150147088
10665;0.464596067
10680;0.186787008
10695;0.05153871
10710;0.051759942
10725;0.050054732
10740;0.036039883
10755;0.036524156
10770;0.037196788
10785;0.044887804
10800;0.050346758
10815;0.053085433
10830;0.053400246
10845;0.049560815
10860;0.031542198
10875;0.030049923
10890;0.030993249
10905;0.017300429
10920;0.015082472
10935;0.029542417
10950;0.055565472
10965;0.074379473
10980;0.086778656
10995;0.082042484
11010;0.058362333
11025;0.055920586
11040;0.053286301
11055;0.054850629
11070;0.055670395
11085;0.05584264
11100;0.057754667
11115;0.043094058
11130;0.045809211
11145;0.046389355
11160;0.060761422
11175;0.185839713
11190;0.188705344
11205;0.18294738
11220;0.222005509
11235;0.382339263
11250;0.410600607
11265;0.429764344
11280;0.413808443
11295;0.184367574
11310;0.131487258
11325;0.105493637
11340;0.069565083
11355;0.060022546
11370;0.060642574
11385;0.084235144
11400;0.090301412
11415;0.090101386
11430;0.090384487
11445;0.090411343
11460;0.090391634
