Time,QHeatTotal
2.16324e+07,0
2.1636e+07,0
2.16396e+07,0
2.16432e+07,0
2.16468e+07,0
2.16504e+07,0
2.1654e+07,0
2.16576e+07,0
2.16612e+07,0
2.16648e+07,0
2.16684e+07,0
2.1672e+07,0
2.16756e+07,0
2.16792e+07,0
2.16828e+07,0
2.16864e+07,0
2.169e+07,0
2.16936e+07,0
2.16972e+07,0
2.17008e+07,0
2.17044e+07,0
2.1708e+07,0
2.17116e+07,0
2.17152e+07,0
2.17188e+07,0
2.17224e+07,0
2.1726e+07,0
2.17296e+07,0
2.17332e+07,0
2.17368e+07,0
2.17404e+07,0
2.1744e+07,0
2.17476e+07,0
2.17512e+07,0
2.17548e+07,0
2.17584e+07,0
2.1762e+07,0
2.17656e+07,0
2.17692e+07,0
2.17728e+07,0
2.17764e+07,0
2.178e+07,0
2.17836e+07,0
2.17872e+07,0
2.17908e+07,0
2.17944e+07,0
2.1798e+07,0
2.18016e+07,0
2.18052e+07,0
2.18088e+07,0
2.18124e+07,0
2.1816e+07,0
2.18196e+07,0
2.18232e+07,0
2.18268e+07,0
2.18304e+07,0
2.1834e+07,0
2.18376e+07,0
2.18412e+07,0
2.18448e+07,0
2.18484e+07,0
2.1852e+07,0
2.18556e+07,0
2.18592e+07,0
2.18628e+07,0
2.18664e+07,0
2.187e+07,0
2.18736e+07,0
2.18772e+07,0
2.18808e+07,0
2.18844e+07,0
2.1888e+07,0
2.18916e+07,0
2.18952e+07,0
2.18988e+07,0
2.19024e+07,0
2.1906e+07,0
2.19096e+07,0
2.19132e+07,0
2.19168e+07,0
2.19204e+07,0
2.1924e+07,0
2.19276e+07,0
2.19312e+07,0
2.19348e+07,0
2.19384e+07,0
2.1942e+07,0
2.19456e+07,0
2.19492e+07,0
2.19528e+07,0
2.19564e+07,0
2.196e+07,0
2.19636e+07,0
2.19672e+07,0
2.19708e+07,0
2.19744e+07,0
2.1978e+07,0
2.19816e+07,0
2.19852e+07,0
2.19888e+07,0
2.19924e+07,0
2.1996e+07,0
2.19996e+07,0
2.20032e+07,0
2.20068e+07,0
2.20104e+07,0
2.2014e+07,0
2.20176e+07,0
2.20212e+07,0
