Time,sFH_FMU_UFH.mFlow_DHW,sFH_FMU_UFH.TDem_DHW
471600,283.15,0
472500,283.15,0
473400,286.15,0.01
474300,328.15,0.01
475200,312.15,0
476100,328.15,0
477000,283.15,0
477900,289.15,0.008888889
478800,283.15,0
479700,283.15,0
480600,283.15,0
481500,283.15,0
482400,283.15,0
483300,283.15,0
484200,286.15,0.01
485100,283.15,0
486000,283.15,0
486900,283.15,0
487800,286.15,0.01
488700,283.15,0
489600,283.15,0
490500,283.15,0
491400,286.15,0.01
492300,283.15,0
493200,283.15,0
494100,283.15,0
495000,283.15,0
495900,283.15,0
496800,286.15,0.01
497700,285.15,0.003333333
498600,285.15,0.003333333
499500,283.15,0
500400,286.15,0.01
501300,283.15,0
502200,283.15,0
503100,283.15,0
504000,283.15,0
504900,283.15,0
505800,328.15,0.017777779
506700,283.15,0
507600,283.15,0
508500,286.15,0.01
509400,297.15,0.046666667
510300,283.15,0
511200,283.15,0
512100,283.15,0
513000,283.15,0
513900,283.15,0
514800,283.15,0
515700,283.15,0
516600,283.15,0
517500,283.15,0
518400,283.15,0
519300,283.15,0
520200,283.15,0
521100,283.15,0
522000,283.15,0
522900,283.15,0
523800,283.15,0
524700,283.15,0
525600,283.15,0
526500,283.15,0
527400,283.15,0
528300,283.15,0
529200,283.15,0
530100,283.15,0
531000,283.15,0
531900,283.15,0
532800,283.15,0
533700,283.15,0
534600,283.15,0
535500,283.15,0
536400,283.15,0
537300,283.15,0
538200,283.15,0
539100,283.15,0
540000,283.15,0
540900,283.15,0
541800,283.15,0
542700,283.15,0
543600,300.15,0.056666667
544500,283.15,0
545400,286.15,0.01
546300,283.15,0
547200,286.15,0.01
548100,286.15,0.01
549000,286.15,0.01
549900,286.15,0.01
550800,286.15,0.01
551700,283.15,0
552600,286.15,0.01
553500,283.15,0
554400,283.15,0
555300,283.15,0
556200,285.15,0.003333333
557100,283.15,0
558000,283.15,0
558900,283.15,0
559800,286.15,0.01
560700,286.15,0.01
561600,283.15,0
562500,283.15,0
563400,283.15,0
564300,328.15,0.008888889
565200,283.15,0
566100,283.15,0
567000,283.15,0
567900,283.15,0
568800,283.15,0
569700,283.15,0
570600,286.15,0.01
571500,283.15,0
572400,283.15,0
573300,283.15,0
574200,286.15,0.01
575100,283.15,0
576000,283.15,0
576900,283.15,0
577800,286.15,0.01
578700,283.15,0
579600,283.15,0
580500,283.15,0
581400,283.15,0
582300,283.15,0
583200,295,0.01
584100,285.15,0.003333333
585000,285.15,0.003333333
585900,283.15,0
586800,286.15,0.01
587700,283.15,0
588600,283.15,0
589500,283.15,0
590400,283.15,0
591300,283.15,0
592200,295.15,0.017777779
593100,283.15,0
594000,283.15,0
594900,286.15,0.01
595800,297.15,0.046666667
596700,283.15,0
597600,283.15,0
598500,283.15,0
599400,283.15,0
600300,283.15,0
601200,283.15,0
602100,283.15,0
603000,283.15,0
603900,283.15,0
604800,283.15,0
605700,283.15,0
606600,283.15,0
607500,283.15,0
608400,283.15,0
609300,283.15,0
610200,283.15,0
611100,283.15,0
612000,283.15,0
612900,283.15,0
613800,283.15,0
614700,283.15,0
615600,283.15,0
616500,283.15,0
617400,283.15,0
618300,283.15,0
619200,283.15,0
620100,283.15,0
621000,283.15,0
621900,283.15,0
622800,283.15,0
623700,283.15,0
624600,283.15,0
625500,283.15,0
626400,283.15,0
627300,283.15,0
628200,283.15,0
629100,283.15,0
630000,328.15,0.056666667
630900,283.15,0
631800,286.15,0.01
632700,283.15,0
633600,286.15,0.01
634500,286.15,0.01
635400,286.15,0.01
636300,286.15,0.01
637200,286.15,0.01
638100,283.15,0
639000,286.15,0.01
639900,283.15,0
640800,283.15,0
641700,283.15,0
642600,285.15,0.003333333
643500,283.15,0
644400,283.15,0
645300,283.15,0
646200,286.15,0.01
647100,286.15,0.01
648000,283.15,0
648900,283.15,0
649800,283.15,0
650700,289.15,0.008888889
651600,283.15,0
652500,283.15,0
653400,283.15,0
654300,283.15,0
655200,283.15,0
656100,283.15,0
657000,286.15,0.01
657900,283.15,0
658800,283.15,0
659700,283.15,0
660600,286.15,0.01
661500,283.15,0
662400,283.15,0
663300,283.15,0
664200,286.15,0.01
665100,283.15,0
666000,283.15,0
666900,283.15,0
667800,283.15,0
668700,283.15,0
669600,292,0.01
670500,285.15,0.003333333
671400,285.15,0.003333333
672300,283.15,0
673200,286.15,0.01
674100,283.15,0
675000,283.15,0
675900,283.15,0
676800,283.15,0
677700,283.15,0
678600,295.15,0.017777779
679500,283.15,0
680400,283.15,0
681300,286.15,0.01
682200,297.15,0.046666667
683100,283.15,0
684000,283.15,0
684900,283.15,0
685800,283.15,0
686700,283.15,0
687600,283.15,0
688500,283.15,0
689400,283.15,0
690300,283.15,0
691200,283.15,0
692100,283.15,0
693000,283.15,0
693900,283.15,0
694800,283.15,0
695700,283.15,0
696600,283.15,0
697500,283.15,0
698400,283.15,0
699300,283.15,0
700200,283.15,0
701100,283.15,0
702000,283.15,0
702900,283.15,0
703800,283.15,0
704700,283.15,0
705600,283.15,0
706500,283.15,0
707400,283.15,0
708300,283.15,0
709200,283.15,0
710100,283.15,0
711000,283.15,0
711900,283.15,0
712800,283.15,0
713700,283.15,0
714600,283.15,0
715500,283.15,0
716400,300.15,0.056666667
717300,283.15,0
718200,286.15,0.01
719100,283.15,0
720000,286.15,0.01
720900,286.15,0.01
721800,286.15,0.01
722700,286.15,0.01
723600,286.15,0.01
724500,283.15,0
725400,286.15,0.01
726300,283.15,0
727200,283.15,0
728100,283.15,0
729000,285.15,0.003333333
729900,283.15,0
730800,283.15,0
731700,283.15,0
732600,286.15,0.01
733500,286.15,0.01
734400,283.15,0
735300,283.15,0
736200,283.15,0
737100,289.15,0.008888889
738000,283.15,0
738900,283.15,0
739800,283.15,0
740700,283.15,0
741600,283.15,0
742500,283.15,0
743400,305,0.01
744300,283.15,0
745200,283.15,0
746100,283.15,0
747000,286.15,0.01
747900,283.15,0
748800,283.15,0
749700,283.15,0
750600,286.15,0.01
751500,283.15,0
752400,283.15,0
753300,283.15,0
754200,283.15,0
755100,283.15,0
756000,286.15,0.01
756900,285.15,0.003333333
757800,285.15,0.003333333
758700,283.15,0
759600,286.15,0.01
760500,283.15,0
761400,283.15,0
762300,283.15,0
763200,283.15,0
764100,283.15,0
765000,295.15,0.017777779
765900,283.15,0
766800,283.15,0
767700,286.15,0.01
768600,328.15,0.046666667
769500,283.15,0
770400,283.15,0
771300,283.15,0
772200,283.15,0
773100,283.15,0
774000,283.15,0
774900,283.15,0
775800,283.15,0
776700,283.15,0
777600,283.15,0
778500,283.15,0
779400,283.15,0
780300,283.15,0
781200,283.15,0
782100,283.15,0
783000,283.15,0
783900,283.15,0
784800,283.15,0
785700,283.15,0
786600,283.15,0
787500,283.15,0
788400,283.15,0
789300,283.15,0
790200,283.15,0
791100,283.15,0
792000,283.15,0
792900,283.15,0
793800,283.15,0
794700,283.15,0
795600,283.15,0
796500,283.15,0
797400,283.15,0
798300,283.15,0
799200,283.15,0
800100,283.15,0
801000,283.15,0
801900,283.15,0
802800,300.15,0.056666667
803700,283.15,0
804600,286.15,0.01
805500,283.15,0
806400,286.15,0.01
807300,286.15,0.01
808200,286.15,0.01
809100,286.15,0.01
810000,286.15,0.01
810900,283.15,0
811800,286.15,0.01
812700,283.15,0
813600,283.15,0
814500,283.15,0
815400,285.15,0.003333333
816300,283.15,0
817200,283.15,0
818100,283.15,0
819000,286.15,0.01
819900,286.15,0.01
820800,283.15,0
821700,283.15,0
822600,283.15,0
823500,328.15,0.008888889
824400,283.15,0
825300,283.15,0
826200,283.15,0
827100,283.15,0
