Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
1126800,0,0,281.95,0
1130400,0,0,282.45,0
1134000,0,0,282.45,0
1137600,0,0,282.45,0
1141200,0,0,282.45,0
1144800,0,0,282.45,0
1148400,0,0,282.35,0
1152000,0,3078.554,282.55,1.1458334
1155600,0,6697.219,282.35,10.822917
1159200,0,6440.7603,282.45,23.329044
1162800,0,5787.6836,282.65,46.220062
1166400,0,5385.657,282.85,69.167145
1170000,0,5465.7153,282.85,51.2025
1173600,0,5451.42,282.85,33.135227
1177200,0,0,283.45,16.39394
1180800,0,0,283.45,1.5833334
1184400,0,0,283.35,0
1188000,0,0,283.25,0
1191600,0,0,283.35,0
1195200,0,0,283.35,0
1198800,0,6751.3555,282.95,0
1202400,0,254.53424,282.95,0
1206000,0,0,283.05,0
1209600,0,0,282.85,0
1213200,0,0,282.85,0
1216800,0,0,282.25,0
1220400,0,0,281.95,0
1224000,0,0,281.55,0
1227600,0,0,281.35,0
1231200,0,0,280.95,0
1234800,0,0,280.95,0
1238400,0,3356.8335,280.85,1.75
1242000,0,7414.352,280.35,62
1245600,0,6853.069,280.75,140
1249200,0,5720.148,281.75,170.67522
1252800,0,5691.917,281.75,147.11353
1256400,0,5997.5747,281.85,151.41675
1260000,0,5594.822,281.85,144.13202
1263600,0,4429.2837,281.75,75.248436
1267200,0,4282.8193,281.35,7.6640625
1270800,0,4837.3027,280.15,0
1274400,0,5723.4,280.45,0
1278000,0,6895.7334,280.85,0
1281600,0,7725.4546,280.75,0
1285200,0,8063.7295,280.75,0
1288800,0,1089.6963,280.25,0
1292400,0,0,280.05,0
1296000,0,0,280.05,0
1299600,0,0,280.05,0
1303200,0,0,279.95,0
1306800,0,0,279.95,0
1310400,0,0,280.25,0
1314000,0,0,280.45,0
1317600,0,0,280.35,0
1321200,0,0,280.25,0
1324800,0,3307.6992,279.45,4.1302085
1328400,0,7440.559,279.45,23.991667
1332000,0,7641.4116,280.05,53.17628
1335600,0,7045.071,280.45,103.53547
1339200,0,6401.9673,281.15,116.925865
1342800,0,6533.6763,281.95,128.61551
1346400,0,5422.5244,283.05,127.78178
1350000,0,4385.028,282.85,56.600365
1353600,0,4130.315,282.85,4.242857
1357200,0,4423.8257,281.95,0
1360800,0,5345.1816,280.95,0
1364400,0,6993.121,279.95,0
1368000,0,8144.658,280.05,0
1371600,0,8480.679,280.05,0
1375200,0,1427.7369,279.85,0
1378800,0,0,279.35,0
1382400,0,0,278.75,0
1386000,0,0,277.85,0
1389600,0,0,277.35,0
1393200,0,0,276.85,0
1396800,0,0,276.55,0
1400400,0,0,275.85,0
1404000,0,0,275.45,0
1407600,0,0,275.15,0
1411200,0,4717.868,275.15,2.625
1414800,0,8965.347,275.05,70.5
1418400,0,7910.0737,275.75,157.5
1422000,0,6298.3887,277.35,233.9019
1425600,0,5154.391,279.35,265.9049
1429200,0,4439.3984,280.85,258.03876
1432800,0,3443.5024,281.55,198.42336
1436400,0,2474.3645,281.45,103.02606
1440000,0,2870.0566,280.25,15.08
1443600,0,3805.1528,278.25,0
1447200,0,5078.1387,277.25,0
1450800,0,6736.7686,276.65,0
1454400,0,7847.0273,276.45,0
1458000,0,8520.634,274.95,0
1461600,0,1917.2551,274.45,0
1465200,0,0,274.85,0
1468800,0,0,275.45,0
1472400,0,0,275.75,0
1476000,0,0,276.55,0
1479600,0,0,277.45,0
1483200,0,0,278.05,0
1486800,0,0,277.95,0
1490400,0,0,277.95,0
